x Value, Relative Error
0.55,-1.60288754066201
0.552,-1.60777060989023
0.554,-1.61251882869794
0.556,-1.61713053866329
0.558,-1.62160407536651
0.56,-1.62593776838994
0.562,-1.63012994131802
0.564,-1.63417891173727
0.566,-1.63808299123629
0.568,-1.64184048540578
0.57,-1.64544969383854
0.572,-1.64890891012945
0.574,-1.65221642187548
0.576,-1.65537051067569
0.578,-1.65836945213125
0.58,-1.66121151584541
0.582,-1.66389496542349
0.584,-1.66641805847292
0.586,-1.66877904660323
0.588,-1.67097617542604
0.59,-1.67300768455502
0.592,-1.67487180760599
0.594,-1.67656677219683
0.596,-1.6780907999475
0.598,-1.67944210648008
0.6,-1.68061890141872
0.602,-1.68161938838968
0.604,-1.68244176502127
0.606,-1.68308422294395
0.608,-1.68354494779022
0.61,-1.6838221191947
0.612,-1.6839139107941
0.614,-1.6838184902272
0.616,-1.68353401913488
0.618,-1.68305865316014
0.62,-1.68239054194802
0.622,-1.68152782914569
0.624,-1.6804686524024
0.626,-1.67921114336948
0.628,-1.67775342770037
0.63,-1.67609362505059
0.632,-1.67422984907774
0.634,-1.67216020744154
0.636,-1.66988280180378
0.638,-1.66739572782833
0.64,-1.66469707518119
0.642,-1.6617849275304
0.644,-1.65865736254615
0.646,-1.65531245190066
0.648,-1.65174826126828
0.65,-1.64796285032545
0.652,-1.64395427275068
0.654,-1.63972057622459
0.656,-1.63525980242988
0.658,-1.63056998705135
0.66,-1.62564915977588
0.662,-1.62049534429245
0.664,-1.61510655829212
0.666,-1.60948081346807
0.668,-1.60361611551552
0.67,-1.59751046413183
0.672,-1.59116185301643
0.674,-1.58456826987084
0.676,-1.57772769639868
0.678,-1.57063810830564
0.68,-1.56329747529953
0.682,-1.55570376109023
0.684,-1.54785492338971
0.686,-1.53974891391206
0.688,-1.53138367837342
0.69,-1.52275715649205
0.692,-1.51386728198828
0.694,-1.50471198258456
0.696,-1.4952891800054
0.698,-1.48559678997742
0.7,-1.47563272222932
0.702,-1.46539488049191
0.704,-1.45488116249806
0.706,-1.44408945998276
0.708,-1.43301765868307
0.71,-1.42166363833816
0.712,-1.41002527268928
0.714,-1.39810042947977
0.716,-1.38588697045505
0.718,-1.37338275136267
0.72,-1.36058562195222
0.722,-1.34749342597543
0.724,-1.33410400118608
0.726,-1.32041517934006
